x,y,yhat,baseline,residual,Lcore,alpha,gamma_tr,Epair_star,Rcore,mode_1,mode_2,mode_3
8.8,0.0016091666666667355,0.0016051674434428287,0.0002826591844676737,3.99922322390678e-06,0.9973226601333871,0.9973226601333871,0.5547282316339658,0.05095946942880095,1250.6922757358866,0.0012579417053237647,6.435194985048105e-05,2.1460380090913224e-07
8.85,0.001627500000000041,0.0016057065262332258,0.0002826664904088876,2.179347376681526e-05,0.9977236807684007,0.9977236807684007,0.5548522763857485,0.05097028383889593,1250.9576925332753,0.001258304221182591,6.452078600066329e-05,2.1502864108420596e-07
8.9,0.0016662500000000542,0.001606202654837881,0.0002826738055228485,6.004734516217329e-05,0.9980923021116246,0.9980923021116246,0.5549662602677169,0.05098022090977471,1251.2015768972774,0.0012586231427067797,6.469025186443571e-05,2.154547438170399e-07
8.95,0.0016825000000000312,0.001606655765740844,0.0002826811298095564,7.584423425918718e-05,0.99842847626476,0.99842847626476,0.5550701783515348,0.050989280266910096,1251.423919635916,0.0012588984034376787,6.486035037949434e-05,2.158821141144549e-07
9.0,0.0016983333333333572,0.0016070658044995707,0.0002826884632690114,9.126752883378657e-05,0.9987321621718942,0.9987321621718942,0.555164026964025,0.05099746164035679,1251.6247141239548,0.001259129945974264,6.503108449928706e-05,2.1631075700811032e-07
9.05,0.0016841666666666348,0.0016074327257749055,0.0002826958059012133,7.673394089172938e-05,0.9990033256421128,0.9990033256421128,0.5552478036892673,0.0510047648649186,1251.8039563070035,0.0012593177220030346,6.520245719310292e-05,2.1674067755465251e-07
9.1,0.0016675000000000069,0.0016077564933563555,0.0002827031577061623,5.974350664365142e-05,0.9992419393685578,0.9992419393685578,0.5553215073703235,0.051011189880286155,1251.9616447048961,0.0012594616923231959,6.537447144616164e-05,2.171718808358634e-07
9.15,0.001670833333333362,0.0016080370801826304,0.00028271051868385827,6.279625315073166e-05,0.9994479829439173,0.9994479829439173,0.5553851381105904,0.051016736731144985,1252.0977804143445,0.0012595618268671093,6.554713025970396e-05,2.1760437195881058e-07
9.2,0.0016704166666667113,0.0016082744683574254,0.00028271788883430123,6.214219830928593e-05,0.9996214428723289,0.9996214428723289,0.5554386972747772,0.0510214055672541,1252.2123671108661,0.0012596181047159862,6.572043665108207e-05,2.1803815605599885e-07
9.25,0.0017066666666666712,0.0016084686491604377,0.0002827252681574912,9.819801750623352e-05,0.9997623125776853,0.9997623125776853,0.5554821874895078,0.05102519664349453,1252.3054110499766,0.0012596305141108102,6.589439365385076e-05,2.184732382855217e-07
9.3,0.0016599999999999948,0.0016086196230535971,0.0002827326566534282,5.1380376946397665e-05,0.9998705924083346,0.9998705924083346,0.555515612643548,0.051028110319888464,1252.376921067658,0.0012595990524584789,6.606900431785875e-05,2.1890962383121509e-07
9.35,0.00168749999999999,0.0016087273996825148,0.00028274005432211226,7.877260031747516e-05,0.9999462896381721,0.9999462896381721,0.5555389778876564,0.05103014706158832,1252.4269085800915,0.001259523726333159,6.624427170934084e-05,2.1934731790281155e-07
9.4,0.0016799999999999777,0.0016087919978731411,0.0002827474611635433,7.120800212683659e-05,0.9999894184641201,0.9999894184641201,0.5555522896340606,0.051031307438836264,1252.4553875826637,0.0012594045514728515,6.642019891101032e-05,2.1978632573609534e-07
9.45,0.0016979166666666323,0.0016088134456236402,0.0002827548771777213,8.910322104299217e-05,1.0,1.0,0.5555555555555556,0.05103159212689375,1252.4623746482373,0.001259241552771174,6.659678902215177e-05,2.202266525930593e-07
9.5,0.0016762499999999718,0.0016087917800914856,0.0002827623023646464,6.745821990848623e-05,0.999978062266802,0.999978062266802,0.5555487845842298,0.051031001905941537,1252.4478889246968,0.0012590347642643625,6.677404515871454e-05,2.2066830376206193e-07
9.55,0.0016724999999999657,0.0016087270475757945,0.0002827697367243184,6.377295242417113e-05,0.9999236401793615,0.9999236401793615,0.5555319869098139,0.05102953766094983,1252.4119521317623,0.0012587842291135116,6.695197045340645e-05,2.2111128455798666e-07
9.6,0.0016608333333332965,0.0016086193034949138,0.00028277718025673755,5.221402983838271e-05,0.9998367755294578,0.9998367755294578,0.555505173977657,0.051027200381518874,1252.3545885570766,0.0012584899995820658,6.713056805578815e-05,2.2155560032240102e-07
9.65,0.0016608333333332965,0.0016084686123592825,0.0002827846329619036,5.2364720974014053e-05,0.9997175169653488,0.9997175169653488,0.5554683584863307,0.05102399116169004,1252.275825051568,0.0012581521370085872,6.730984113236787e-05,2.2200125642371786e-07
